Edad,qx,Ix,dx,v^x,k,Dx,Cx,Mx,Rx,Nx,Sx
91,0.123677,17150.08901,2121.071558,0.028181631,79,483.3174797,57.47620763,392.9000854,1997.816416,2350.852252,9178.931747
92,0.131973,15029.01745,1983.42452,0.027097722,80,407.2521382,51.67912158,335.4238777,1604.916331,1867.534773,6828.079495
93,0.140737,13045.59293,1835.997612,0.026055502,81,339.9094729,45.99792258,283.7447562,1269.492453,1460.282634,4960.544722
94,0.149983,11209.59532,1681.248735,0.025053367,82,280.838109,40.50090587,237.7468336,985.7476967,1120.373162,3500.262088
95,0.159723,9528.346583,1521.896101,0.024089776,83,229.5357374,35.25205441,197.2459277,748.0008631,839.5350526,2379.888926
96,0.16997,8006.450482,1360.856388,0.023163246,84,185.4553854,30.30947294,161.9938733,550.7549354,609.9993151,1540.353874
97,0.180733,6645.594093,1201.078157,0.022272352,85,148.013013,25.72195758,131.6844004,388.7610621,424.5439297,930.3545584
98,0.19202,5444.515936,1045.45595,0.021415723,86,116.5982473,21.52807254,105.9624428,257.0766617,276.5309167,505.8106287
99,0.203837,4399.059986,896.6911904,0.020592042,87,90.58562676,17.75452154,84.43437024,151.1142189,159.9326694,229.2797121
100,1,3502.368796,3502.368796,0.01980004,88,69.34704265,66.6798487,66.6798487,66.6798487,69.34704265,69.34704265
101,,0,,0.0190385,,,,,,,
